id,Category,Ambiguity,Cas_No,CAS,Chemical_Formula,Molar_Mass,Chemical_Name,IUPAC_name,Alt_Chem_Name,Acronym,Alt_Acronym,INCHIKEY,DTXSID,DTXCID,SMILES,SMILES_CAN,INCHI_STRING,Note
chem0067,PAH,NA,91-20-3,91203,C10H8,128.174,Naphthalene,Naphthalene,NA,NA,NA,UFWIBTONFRDIAS-UHFFFAOYSA-N,DTXSID8020913,DTXCID00913,C1=CC2=CC=CC=C2C=C1,c1ccc2c(c1)cccc2,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,NA
chem0068,PBB,NA,92-86-4,92864,C12H8Br2,312.004,"4,4'-Dibromo-1,1'-biphenyl","4,4'-Dibromo-1,1'-biphenyl",NA,PBB 15,NA,HQJQYILBCQPYBI-UHFFFAOYSA-N,DTXSID1059072,DTXCID3048780,BrC1=CC=C(C=C1)C1=CC=C(Br)C=C1,Brc1ccc(cc1)c1ccc(cc1)Br,InChI=1S/C12H8Br2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,NA
chem0069,Arene,NA,95-47-6,95476,C8H10,106.168,o-Xylene,"1,2-Xylene",NA,NA,NA,CTQNGGLPUBDAKN-UHFFFAOYSA-N,DTXSID3021807,DTXCID501807,CC1=C(C)C=CC=C1,Cc1ccccc1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",NA
chem0070,CB,NA,95-50-1,95501,C6H4Cl2,147.01,"1,2-Dichlorobenzene","1,2-Dichlorobenzene",NA,"1,2-diCB",NA,RFFLAFLAYFXFSW-UHFFFAOYSA-N,DTXSID6020430,DTXCID00430,ClC1=C(Cl)C=CC=C1,Clc1ccccc1Cl,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,NA
chem0071,CB,NA,95-94-3,95943,C6H2Cl4,215.88,"1,2,4,5-Tetrachlorobenzene","1,2,4,5-Tetrachlorobenzene",NA,"1,2,4,5-tetraCB",NA,JHBKHLUZVFWLAG-UHFFFAOYSA-N,DTXSID7024320,DTXCID604320,ClC1=CC(Cl)=C(Cl)C=C1Cl,Clc1cc(Cl)c(cc1Cl)Cl,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,NA
chem0072,Ketone,NA,96-22-0,96220,C5H10O,86.134,3-Pentanone,Pentan-3-one,NA,NA,NA,FDPIMTJIUBPUKL-UHFFFAOYSA-N,DTXSID6021820,DTXCID301820,CCC(=O)CC,CCC(=O)CC,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",NA
chem0073,Arene,NA,98-82-8,98828,C9H12,120.195,Cumene,(Propan-2-yl)benzene,Isopropylbenzene,NA,NA,RWGFKTVRMDUZSP-UHFFFAOYSA-N,DTXSID1021827,DTXCID101827,CC(C)C1=CC=CC=C1,CC(c1ccccc1)C,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",NA
chem0074,Arene,NA,100-41-4,100414,C8H10,106.168,Ethylbenzene,Ethylbenzene,NA,NA,NA,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,DTXSID3020596,DTXCID10596,CCC1=CC=CC=C1,CCc1ccccc1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",NA
chem0075,Nitrile,NA,100-47-0,100470,C7H5N,103.124,Benzonitrile,Benzonitrile,NA,NA,NA,JFDZBHWFFUWGJE-UHFFFAOYSA-N,DTXSID7021491,DTXCID001491,N#CC1=CC=CC=C1,N#Cc1ccccc1,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,NA
chem0076,Arene,NA,100-66-3,100663,C7H8O,108.14,Anisole,Anisole,Methoxybenzene,NA,NA,RDOXTESZEPMUJZ-UHFFFAOYSA-N,DTXSID4041608,DTXCID2021608,COC1=CC=CC=C1,COc1ccccc1,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",NA
chem0077,Arene,NA,103-65-1,103651,C9H12,120.195,Propylbenzene,Propylbenzene,NA,NA,NA,ODLMAHJVESYWTB-UHFFFAOYSA-N,DTXSID3042219,DTXCID1022219,CCCC1=CC=CC=C1,CCCc1ccccc1,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",NA
chem0078,Ester,NA,105-37-3,105373,C5H10O2,102.133,Ethyl propanoate,Ethyl propanoate,Ethyl Propionate,NA,NA,FKRCODPIKNYEAC-UHFFFAOYSA-N,DTXSID1040110,DTXCID9020110,CCOC(=O)CC,CCOC(=O)CC,"InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3",NA
chem0079,Ester,NA,105-54-4,105544,C6H12O2,116.16,Ethyl butyrate,Ethyl butanoate,NA,NA,NA,OBNCKNCVKJNDBV-UHFFFAOYSA-N,DTXSID6040111,DTXCID4020111,CCCC(=O)OCC,CCCC(=O)OCC,"InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3",NA
chem0080,Arene,NA,106-42-3,106423,C8H10,106.168,p-Xylene,"1,4-Xylene",NA,NA,NA,URLKBWYHVLBVBO-UHFFFAOYSA-N,DTXSID2021868,DTXCID701868,CC1=CC=C(C)C=C1,Cc1ccc(cc1)C,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",NA
chem0081,Alkane,NA,106-97-8,106978,C4H10,58.124,Butane,Butane,NA,NA,NA,IJDNQMDRQITEOD-UHFFFAOYSA-N,DTXSID7024665,DTXCID404665,CCCC,CCCC,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",NA
chem0082,Haloalkane,NA,107-06-2,107062,C2H4Cl2,98.95,"1,2-Dichloroethane","1,2-Dichloroethane",NA,NA,NA,WSLDOOZREJYCGB-UHFFFAOYSA-N,DTXSID6020438,DTXCID40438,ClCCCl,ClCCCl,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,NA
chem0083,Nitrile,NA,107-12-0,107120,C3H5N,55.08,Propylnitrile,Propanenitrile,Propionitrile,NA,NA,FVSKHRXBFJPNKK-UHFFFAOYSA-N,DTXSID1021879,DTXCID401879,CCC#N,CCC#N,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",NA
chem0084,Formate,NA,107-31-3,107313,C2H4O2,60.052,Methyl formate,Methyl formate,NA,NA,NA,TZIHFWKZFHZASV-UHFFFAOYSA-N,DTXSID5025609,DTXCID305609,COC=O,COC=O,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",NA
chem0085,Ketone,NA,107-87-9,107879,C5H10O,86.134,2-Pentanone,Pentan-2-one,NA,NA,NA,XNLICIUVMPYHGG-UHFFFAOYSA-N,DTXSID0021888,DTXCID301888,CCCC(C)=O,CCCC(=O)C,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",NA
chem0086,Nitro,NA,108-03-2,108032,C3H7NO2,89.094,1-Nitropropane,1-Nitropropane,Nitropropane,NA,NA,JSZOAYXJRCEYSX-UHFFFAOYSA-N,DTXSID1020980,DTXCID50980,CCC[N+]([O-])=O,[O-][N+](=O)CCC,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",NA
chem0087,Ether,NA,108-20-3,108203,C6H14O,102.177,Isopropyl ether,2-[(Propan-2-yl)oxy]propane,Diisopropyl ether,NA,NA,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,DTXSID4021890,DTXCID401890,CC(C)OC(C)C,CC(OC(C)C)C,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",NA
chem0088,Acetate,NA,108-21-4,108214,C5H10O2,102.133,Isopropyl acetate,Propan-2-yl acetate,NA,NA,NA,JMMWKPVZQRWMSS-UHFFFAOYSA-N,DTXSID2025478,DTXCID605478,CC(C)OC(C)=O,CC(OC(=O)C)C,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",NA
chem0089,Arene,NA,108-38-3,108383,C8H10,106.168,m-Xylene,"1,3-Xylene",NA,NA,NA,IVSZLXZYQVIEFR-UHFFFAOYSA-N,DTXSID6026298,DTXCID501446,CC1=CC(C)=CC=C1,Cc1cccc(c1)C,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",NA
chem0090,Cyclic,NA,108-87-2,108872,C7H14,98.189,Methylcyclohexane,Methylcyclohexane,NA,NA,NA,UAEPNZWRGJTJPN-UHFFFAOYSA-N,DTXSID0047749,DTXCID4027733,CC1CCCCC1,CC1CCCCC1,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",NA
